stud_id,course_id,section_id,semester,year,grade
22111001,CID101,SEC101,odd ,2019,pass
22111001,CID102,SEC101,even,2020,pass
22111001,CID103,SEC101,odd,2021,fail
22111002,CID106,SEC101,odd,2022,pass
22111002,CID107,SEC101,odd ,2019,pass
22111003,CID108,SEC101,even,2020,pass
22111003,CID109,SEC101,odd,2021,pass
22111004,CID110,SEC101,odd,2022,fail
22111004,CID111,SEC101,odd ,2019,pass
22111005,CID112,SEC101,even,2020,pass
22111005,CID113,SEC101,odd,2021,pass
22111005,CID114,SEC101,odd,2022,pass
22111005,CID115,SEC101,odd ,2019,fail
22111006,CID103,SEC101,even,2020,pass
22111006,CID104,SEC101,odd,2021,pass
22111007,CID105,SEC101,odd,2022,pass
22111008,CID108,SEC101,odd ,2019,pass
22111009,CID110,SEC101,even,2020,fail
22111010,CID115,SEC101,odd,2021,pass
22111010,CID114,SEC101,odd,2022,pass
22111011,CID101,SEC102,odd ,2019,pass
22111014,CID105,SEC101,even,2020,pass
22111015,CID108,SEC101,odd,2021,fail
22111016,CID110,SEC101,odd,2022,pass
22111017,CID114,SEC102,odd ,2019,pass
22111018,CID101,SEC101,even,2020,pass
22111019,CID105,SEC101,odd,2021,pass
22111020,CID108,SEC101,odd,2022,fail
22111022,CID110,SEC101,odd ,2019,pass
22111023,CID115,SEC101,even,2020,pass
22111023,CID114,SEC101,odd,2021,pass
22111024,CID101,SEC101,odd,2022,pass
22111025,CID105,SEC101,odd ,2019,fail
22111026,CID108,SEC101,even,2020,pass
22111027,CID110,SEC101,odd,2021,pass
22111028,CID114,SEC101,odd,2022,pass
22111028,CID115,SEC101,odd ,2019,pass
22111029,CID102,SEC102,even,2020,fail
22111030,CID105,SEC101,odd,2021,pass
22111031,CID108,SEC101,odd,2022,pass
22111032,CID110,SEC101,odd ,2019,pass
22111033,CID114,SEC101,even,2020,pass
22111033,CID115,SEC101,odd,2021,fail
